,year,title,published_at,category,nominee,artist,workers,winner
0,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Record Of The Year,Bad Guy,Billie Eilish,"Finneas O'Connell, producer; Rob Kinelski & Finneas O'Connell, engineers/mixers; John Greenham, mastering engineer",True
1,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Record Of The Year,"Hey, Ma",Bon Iver,"BJ Burton, Brad Cook, Chris Messina & Justin Vernon, producers; BJ Burton, Zach Hanson & Chris Messina, engineers/mixers; Greg Calbi, mastering engineer",True
2,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Record Of The Year,7 rings,Ariana Grande,"Charles Anderson, Tommy Brown, Michael Foster & Victoria Monet, producers; Serban Ghenea, John Hanes, Billy Hickey & Brendan Morawski, engineers/mixers; Randy Merrill, mastering engineer",True
3,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Record Of The Year,Hard Place,H.E.R.,"Rodney “Darkchild” Jerkins, producer; Joseph Hurtado, Jaycen Joshua, Derek Keota & Miki Tsutsumi, engineers/mixers; Colin Leonard, mastering engineer",True
4,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Record Of The Year,Talk,Khalid,"Disclosure & Denis Kosiak, producers; Ingmar Carlson, Jon Castelli, Josh Deguzman, John Kercy, Denis Kosiak, Guy Lawrence & Michael Romero, engineers/mixers; Dale Becker, mastering engineer",True
5,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Record Of The Year,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,"Andrew ""VoxGod"" Bolooki, Jocelyn “Jozzy” Donald & YoungKio, producers; Andrew ""VoxGod"" Bolooki, Cinco & Joe Grasso, engineers/mixers; Eric Lagg, mastering engineer",True
6,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Record Of The Year,Truth Hurts,Lizzo,"Ricky Reed & Tele, producers; Chris Galland, Manny Marroquin & Ethan Shumaker, engineers/mixers; Chris Gehringer, mastering engineer",True
7,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Record Of The Year,Sunflower,Post Malone & Swae Lee,"Louis Bell & Carter Lang, producers; Louis Bell & Manny Marroquin, engineers/mixers; Mike Bozzi, mastering engineer",True
8,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Album Of The Year,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,"Finneas O'Connell, producer; Rob Kinelski & Finneas O'Connell, engineers/mixers; Billie Eilish O'Connell & Finneas O'Connell, songwriters; John Greenham, mastering engineer",True
9,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Album Of The Year,"I,I",Bon Iver,"Brad Cook, Chris Messina & Justin Vernon, producers; Zach Hanson & Chris Messina, engineers/mixers; BJ Burton, Brad Cook & Justin Vernon, songwriters; Greg Calbi, mastering engineer",True
10,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Album Of The Year,Norman F***ing Rockwell!,Lana Del Rey,"Jack Antonoff & Lana Del Rey, producers; Jack Antonoff & Laura Sisk, engineers/mixers; Jack Antonoff & Lana Del Rey, songwriters; Chris Gehringer, mastering engineer",True
11,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Album Of The Year,"thank u, next",Ariana Grande,"Tommy Brown, Ilya, Max Martin & Victoria Monet, producers; Serban Ghenea, Sam Holland & Brendan Morawski, engineers/mixers; Tommy Brown, Ariana Grande, Savan Kotecha, Max Martin, Victoria Monet, Tayla Parx & Ilya Salmanzadeh, songwriters; Randy Merrill, mastering engineer",True
12,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Album Of The Year,I Used To Know Her,H.E.R.,"David ""Swagg R'Celious"" Harris, H.E.R., Walter Jones & Jeff Robinson, producers; Miki Tsutsumi, engineer/mixer; Sam Ashworth, Jeff “Gitty” Gitelman, David ""Swagg R'Celious"" Harris & H.E.R., songwriters; Dave Kutch, mastering engineer",True
13,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Album Of The Year,7,Lil Nas X,"Joe Grasso, engineer/mixer; Montero Lamar Hill, songwriter; Eric Lagg, mastering engineer",True
14,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Album Of The Year,Cuz I Love You (Deluxe),Lizzo,"Ricky Reed, producer; Manny Marroquin & Ethan Shumaker, engineers/mixers; Eric Frederic & Melissa Jefferson, songwriters; Chris Gehringer, mastering engineer",True
15,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Album Of The Year,Father Of The Bride,Vampire Weekend,"Ezra Koenig & Ariel Rechtshaid, producers; John DeBold, Chris Kasych, Takemasa Kosaka, Ariel Rechtshaid & Hiroya Takayama, engineers/mixers; Ezra Koenig, songwriter; Emily Lazar, mastering engineer",True
16,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Song Of The Year,Bad Guy,,"Billie Eilish O'Connell & Finneas O'Connell, songwriters (Billie Eilish)",True
17,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Song Of The Year,Always Remember Us This Way,,"Natalie Hemby, Lady Gaga, Hillary Lindsey & Lori McKenna, songwriters (Lady Gaga)",True
18,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Song Of The Year,Bring My Flowers Now,,"Brandi Carlile, Phil Hanseroth, Tim Hanseroth & Tanya Tucker, songwriters (Tanya Tucker)",True
19,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Song Of The Year,Hard Place,,"Ruby Amanfu, Sam Ashworth, D. Arcelious Harris, H.E.R. & Rodney Jerkins, songwriters (H.E.R.)",True
20,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Song Of The Year,Lover,,"Taylor Swift, songwriter (Taylor Swift)",True
21,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Song Of The Year,Norman F***ing Rockwell,,"Jack Antonoff & Lana Del Rey, songwriters (Lana Del Rey)",True
22,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Song Of The Year,Someone You Loved,,"Tom Barnes, Lewis Capaldi, Pete Kelleher, Benjamin Kohn & Sam Roman, songwriters (Lewis Capaldi)",True
23,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Song Of The Year,Truth Hurts,,"Steven Cheung, Eric Frederic, Melissa Jefferson & Jesse Saint John, songwriters (Lizzo)",True
24,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best New Artist,Billie Eilish,,,True
25,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best New Artist,Black Pumas,,,True
26,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best New Artist,Lil Nas X,,,True
27,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best New Artist,Lizzo,,,True
28,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best New Artist,Maggie Rogers,,,True
29,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best New Artist,ROSALÍA,,,True
30,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best New Artist,Tank And The Bangas,,,True
31,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best New Artist,Yola,,,True
32,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Solo Performance,Truth Hurts,Lizzo,,True
33,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Solo Performance,Spirit,Beyoncé,,True
34,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Solo Performance,Bad Guy,Billie Eilish,,True
35,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Solo Performance,7 rings,Ariana Grande,,True
36,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Solo Performance,You Need To Calm Down,Taylor Swift,,True
37,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Duo/Group Performance,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,,True
38,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Duo/Group Performance,Boyfriend,Ariana Grande & Social House,,True
39,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Duo/Group Performance,Sucker,Jonas Brothers,,True
40,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Duo/Group Performance,Sunflower,Post Malone & Swae Lee,,True
41,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Duo/Group Performance,Señorita,Shawn Mendes & Camila Cabello,,True
42,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Traditional Pop Vocal Album,Look Now,Elvis Costello & The Imposters,,True
43,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Traditional Pop Vocal Album,Sì,Andrea Bocelli,,True
44,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Traditional Pop Vocal Album,Love (Deluxe Edition),Michael Bublé,,True
45,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Traditional Pop Vocal Album,A Legendary Christmas,John Legend,,True
46,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Traditional Pop Vocal Album,Walls,Barbra Streisand,,True
47,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Vocal Album,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,,True
48,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Vocal Album,The Lion King: The Gift,Beyoncé,,True
49,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Vocal Album,"thank u, next",Ariana Grande,,True
50,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Vocal Album,No.6 Collaborations Project,Ed Sheeran,,True
51,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Pop Vocal Album,Lover,Taylor Swift,,True
52,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Dance Recording,Got To Keep On,The Chemical Brothers,"The Chemical Brothers, producers; Steve Dub Jones & Tom Rowlands, mixers",True
53,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Dance Recording,Linked,Bonobo,"Simon Green, producer; Simon Green & Frank Merritt, mixers",True
54,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Dance Recording,Piece Of Your Heart,Meduza Featuring Goodboys,"Simone Giani, Luca De Gregorio & Mattia Vitale, producers; Simone Giani, Luca De Gregorio & Mattia Vitale, mixers",True
55,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Dance Recording,Underwater,RÜFÜS DU SOL,"Jason Evigan & RÜFÜS DU SOL, producers; Cassian Stewart-Kasimba, mixer",True
56,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Dance Recording,Midnight Hour,"Skrillex, Boys Noize & Ty Dolla $ign","Boys Noize & Skrillex, producers; Tom Norris & Skrillex, mixers",True
57,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Dance/Electronic Album,No Geography,The Chemical Brothers,,True
58,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Dance/Electronic Album,LP5,Apparat,,True
59,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Dance/Electronic Album,Hi This Is Flume (Mixtape),Flume,,True
60,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Dance/Electronic Album,SOLACE,RÜFÜS DU SOL,,True
61,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Dance/Electronic Album,Weather,Tycho Featuring Saint Sinner,,True
62,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Contemporary Instrumental Album,Mettavolution,Rodrigo y Gabriela,,True
63,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Contemporary Instrumental Album,Ancestral Recall,Christian Scott aTunde Adjuah,,True
64,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Contemporary Instrumental Album,Star People Nation,Theo Croker,,True
65,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Contemporary Instrumental Album,Beat Music! Beat Music! Beat Music!,Mark Guiliana,,True
66,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Contemporary Instrumental Album,Elevate,Lettuce,,True
67,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Performance,This Land,Gary Clark Jr.,,True
68,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Performance,Pretty Waste,Bones UK,,True
69,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Performance,History Repeats,Brittany Howard,,True
70,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Performance,Woman,Karen O & Danger Mouse,,True
71,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Performance,Too Bad,Rival Sons,,True
72,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Metal Performance,7empest,Tool,,True
73,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Metal Performance,Astorolus - The Great Octopus,Candlemass Featuring Tony Iommi,,True
74,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Metal Performance,Humanicide,Death Angel,,True
75,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Metal Performance,Bow Down,I Prevail,,True
76,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Metal Performance,Unleashed,Killswitch Engage,,True
77,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Song,This Land,,"Gary Clark Jr., songwriter (Gary Clark Jr.)",True
78,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Song,Fear Inoculum,,"Danny Carey, Justin Chancellor, Adam Jones & Maynard James Keenan, songwriters (Tool)",True
79,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Song,Give Yourself A Try,,"George Daniel, Adam Hann, Matthew Healy & Ross MacDonald, songwriters (The 1975)",True
80,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Song,Harmony Hall,,"Ezra Koenig, songwriter (Vampire Weekend)",True
81,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Song,History Repeats,,"Brittany Howard, songwriter (Brittany Howard)",True
82,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Album,Social Cues,Cage The Elephant,,True
83,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Album,amo,Bring Me The Horizon,,True
84,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Album,In The End,The Cranberries,,True
85,2019,62nd Annual GRAMMY Awards  (2019),2020-05-19 05:10:28-07:00,Best Rock Album,Trauma,I Prevail,,True
